transaction_id,customer_id,transaction_amount,recovery_probability,priority_score,priority,recommended_channel,strategy,recovery_action,expected_recovery_value,reason,message,recovered,money_recovered,probability_bucket
txn_000046,cust_0296,9482.97,0.904,0.8975,HIGH,whatsapp,aggressive_recovery,mandate_reactivation,8572.6,"HIGH priority because of high recovery probability, high customer intent, strong contactability.","Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.

Reply to this message if you need help.",1,9482.97,90-100%
txn_000047,cust_0500,26686.5,0.7752,0.7997,HIGH,whatsapp,assisted_recovery,retry_payment,20687.37,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! Your payment of ₹26,686.50 could not be completed. Please try the payment again using your preferred payment method.

Reply to this message if you need help.",1,26686.5,70-80%
txn_000048,cust_0228,1869.92,0.7931,0.7463,MEDIUM,email,standard_recovery,subscription_reactivation,1483.03,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹1,869.92 needs attention. Please update your payment details to reactivate your subscription.",0,0.0,70-80%
txn_000049,cust_0346,28362.32,0.7069,0.8175,HIGH,whatsapp,assisted_recovery,retry_payment,20049.32,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! Your payment of ₹28,362.32 could not be completed. Please try the payment again using your preferred payment method.

Reply to this message if you need help.",1,28362.32,70-80%
txn_000050,cust_0297,35420.48,0.9316,1.0601,HIGH,sms,aggressive_recovery,mandate_reactivation,32997.72,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,35420.48,90-100%
txn_000051,cust_0575,29645.52,0.8293,0.8898,HIGH,whatsapp,aggressive_recovery,payment_reminder,24585.03,"HIGH priority because of high recovery probability, high customer reliability, low recovery friction.","Hi! We noticed that your payment of ₹29,645.52 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.

Reply to this message if you need help.",1,29645.52,80-90%
txn_000055,cust_0328,33014.41,0.6555,0.8496,HIGH,sms,assisted_recovery,payment_reminder,21640.95,"HIGH priority because of moderate recovery probability, strong contactability, low recovery friction.","Hi! We noticed that your payment of ₹33,014.41 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",0,0.0,60-70%
txn_000057,cust_0500,18280.35,0.8329,0.915,HIGH,sms,aggressive_recovery,checkout_reminder,15225.7,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! You were almost done with your purchase of ₹18,280.35. Complete your checkout whenever you're ready.",1,18280.35,80-90%
txn_000058,cust_0727,20246.99,0.8944,0.9751,HIGH,email,aggressive_recovery,mandate_reactivation,18108.91,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.",1,20246.99,80-90%
txn_000059,cust_0476,13331.45,0.4763,0.6538,MEDIUM,email,standard_recovery,checkout_reminder,6349.77,"MEDIUM priority because of low recovery probability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹13,331.45. Complete your checkout whenever you're ready.",1,13331.45,<50%
txn_000060,cust_0548,36132.34,0.7918,0.8739,HIGH,email,assisted_recovery,subscription_reactivation,28609.59,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹36,132.34 needs attention. Please update your payment details to reactivate your subscription.",1,36132.34,70-80%
txn_000061,cust_0108,17706.7,0.7496,0.777,HIGH,sms,assisted_recovery,payment_reminder,13272.94,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! We noticed that your payment of ₹17,706.70 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",1,17706.7,70-80%
txn_000062,cust_0466,4517.92,0.7435,0.7679,HIGH,whatsapp,assisted_recovery,checkout_reminder,3359.07,"HIGH priority because of moderate recovery probability, strong contactability.","Hi! You were almost done with your purchase of ₹4,517.92. Complete your checkout whenever you're ready.

Reply to this message if you need help.",1,4517.92,70-80%
txn_000063,cust_0372,45791.32,0.6705,0.913,HIGH,whatsapp,assisted_recovery,retry_payment,30703.08,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! Your payment of ₹45,791.32 could not be completed. Please try the payment again using your preferred payment method.

Reply to this message if you need help.",1,45791.32,60-70%
txn_000064,cust_0016,17125.77,0.7595,0.8364,HIGH,whatsapp,assisted_recovery,subscription_reactivation,13007.02,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! Your subscription payment of ₹17,125.77 needs attention. Please update your payment details to reactivate your subscription.

Reply to this message if you need help.",1,17125.77,70-80%
txn_000066,cust_0187,11833.67,0.8276,0.6431,MEDIUM,sms,standard_recovery,subscription_reactivation,9793.55,"MEDIUM priority because of high recovery probability, high customer reliability.","Hi! Your subscription payment of ₹11,833.67 needs attention. Please update your payment details to reactivate your subscription.",1,11833.67,80-90%
txn_000067,cust_0218,49560.2,0.7985,0.9773,HIGH,sms,assisted_recovery,mandate_reactivation,39573.82,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,49560.2,70-80%
txn_000069,cust_0226,6649.84,0.8547,0.883,HIGH,whatsapp,aggressive_recovery,subscription_reactivation,5683.62,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! Your subscription payment of ₹6,649.84 needs attention. Please update your payment details to reactivate your subscription.

Reply to this message if you need help.",1,6649.84,80-90%
txn_000071,cust_0761,34934.08,0.8906,0.9797,HIGH,whatsapp,aggressive_recovery,payment_recovery,31112.29,"HIGH priority because of high recovery probability, strong contactability.","Hi! We noticed an issue with your payment of ₹34,934.08. Please review your payment and try again.

Reply to this message if you need help.",0,0.0,80-90%
txn_000075,cust_0303,38686.57,0.7719,0.7714,HIGH,email,assisted_recovery,subscription_reactivation,29862.16,"HIGH priority because of moderate recovery probability, high customer reliability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹38,686.57 needs attention. Please update your payment details to reactivate your subscription.",1,38686.57,70-80%
txn_000080,cust_0317,6809.24,0.5537,0.6852,MEDIUM,email,standard_recovery,retry_payment,3770.28,"MEDIUM priority because of low recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! Your payment of ₹6,809.24 could not be completed. Please try the payment again using your preferred payment method.",1,6809.24,50-60%
txn_000081,cust_0515,17104.62,0.7148,0.7394,MEDIUM,whatsapp,standard_recovery,checkout_reminder,12226.38,MEDIUM priority because of moderate recovery probability.,"Hi! You were almost done with your purchase of ₹17,104.62. Complete your checkout whenever you're ready.

Reply to this message if you need help.",1,17104.62,70-80%
txn_000084,cust_0021,45054.95,0.8302,1.0221,HIGH,whatsapp,aggressive_recovery,checkout_reminder,37404.62,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! You were almost done with your purchase of ₹45,054.95. Complete your checkout whenever you're ready.

Reply to this message if you need help.",1,45054.95,80-90%
txn_000085,cust_0145,24715.44,0.8146,0.8694,HIGH,sms,aggressive_recovery,checkout_reminder,20133.2,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! You were almost done with your purchase of ₹24,715.44. Complete your checkout whenever you're ready.",1,24715.44,80-90%
txn_000089,cust_0175,36698.37,0.5959,0.7507,HIGH,sms,assisted_recovery,payment_reminder,21868.56,"HIGH priority because of low recovery probability, low recovery friction.","Hi! We noticed that your payment of ₹36,698.37 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",1,36698.37,50-60%
txn_000090,cust_0069,46561.25,0.7692,0.8581,HIGH,sms,assisted_recovery,checkout_reminder,35814.91,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! You were almost done with your purchase of ₹46,561.25. Complete your checkout whenever you're ready.",0,0.0,70-80%
txn_000091,cust_0279,36974.77,0.8905,1.011,HIGH,email,aggressive_recovery,retry_payment,32926.03,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! Your payment of ₹36,974.77 could not be completed. Please try the payment again using your preferred payment method.",1,36974.77,80-90%
txn_000096,cust_0118,48153.76,0.7396,0.8934,HIGH,email,assisted_recovery,subscription_reactivation,35614.52,"HIGH priority because of moderate recovery probability, strong contactability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹48,153.76 needs attention. Please update your payment details to reactivate your subscription.",1,48153.76,70-80%
txn_000097,cust_0439,12931.12,0.847,0.846,HIGH,email,aggressive_recovery,retry_payment,10952.66,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! Your payment of ₹12,931.12 could not be completed. Please try the payment again using your preferred payment method.",1,12931.12,80-90%
txn_000098,cust_0263,27425.53,0.8082,0.8748,HIGH,sms,aggressive_recovery,payment_reminder,22165.31,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! We noticed that your payment of ₹27,425.53 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",0,0.0,80-90%
txn_000099,cust_0070,29003.67,0.5869,0.8093,HIGH,email,assisted_recovery,checkout_reminder,17022.25,"HIGH priority because of low recovery probability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹29,003.67. Complete your checkout whenever you're ready.",1,29003.67,50-60%
txn_000103,cust_0262,4564.61,0.6968,0.6645,MEDIUM,sms,standard_recovery,subscription_reactivation,3180.62,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! Your subscription payment of ₹4,564.61 needs attention. Please update your payment details to reactivate your subscription.",1,4564.61,60-70%
txn_000104,cust_0466,43923.12,0.8549,0.9176,HIGH,whatsapp,aggressive_recovery,payment_reminder,37549.88,"HIGH priority because of high recovery probability, high customer reliability.","Hi! We noticed that your payment of ₹43,923.12 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.

Reply to this message if you need help.",1,43923.12,80-90%
txn_000105,cust_0537,41500.75,0.8622,0.9616,HIGH,whatsapp,aggressive_recovery,mandate_reactivation,35781.95,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.

Reply to this message if you need help.",1,41500.75,80-90%
txn_000109,cust_0173,29190.98,0.7194,0.8956,HIGH,whatsapp,assisted_recovery,retry_payment,20999.99,"HIGH priority because of moderate recovery probability, strong contactability, low recovery friction.","Hi! Your payment of ₹29,190.98 could not be completed. Please try the payment again using your preferred payment method.

Reply to this message if you need help.",1,29190.98,70-80%
txn_000112,cust_0232,4422.64,0.5918,0.5176,LOW,sms,low_cost_recovery,checkout_reminder,2617.32,"LOW priority because of low recovery probability, low recovery friction.","Hi! You were almost done with your purchase of ₹4,422.64. Complete your checkout whenever you're ready.",1,4422.64,50-60%
txn_000115,cust_0288,27594.58,0.7496,0.751,HIGH,sms,assisted_recovery,payment_reminder,20684.9,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! We noticed that your payment of ₹27,594.58 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",0,0.0,70-80%
txn_000116,cust_0781,11208.96,0.8062,0.866,HIGH,whatsapp,aggressive_recovery,payment_reminder,9036.66,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! We noticed that your payment of ₹11,208.96 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.

Reply to this message if you need help.",0,0.0,80-90%
txn_000118,cust_0066,44014.86,0.7955,0.8706,HIGH,whatsapp,assisted_recovery,payment_reminder,35013.82,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! We noticed that your payment of ₹44,014.86 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.

Reply to this message if you need help.",0,0.0,70-80%
txn_000120,cust_0526,360.27,0.8684,0.8267,HIGH,sms,aggressive_recovery,mandate_reactivation,312.86,"HIGH priority because of high recovery probability, strong contactability, low recovery friction.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,0,0.0,80-90%
txn_000121,cust_0704,16240.98,0.6128,0.7654,HIGH,email,assisted_recovery,checkout_reminder,9952.47,"HIGH priority because of moderate recovery probability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹16,240.98. Complete your checkout whenever you're ready.",0,0.0,60-70%
txn_000122,cust_0075,36734.07,0.8603,0.9826,HIGH,sms,aggressive_recovery,retry_payment,31602.32,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! Your payment of ₹36,734.07 could not be completed. Please try the payment again using your preferred payment method.",1,36734.07,80-90%
txn_000123,cust_0581,34944.0,0.7863,0.824,HIGH,sms,assisted_recovery,checkout_reminder,27476.47,"HIGH priority because of moderate recovery probability, high customer reliability.","Hi! You were almost done with your purchase of ₹34,944.00. Complete your checkout whenever you're ready.",0,0.0,70-80%
txn_000124,cust_0548,21955.16,0.7267,0.6819,MEDIUM,email,standard_recovery,subscription_reactivation,15954.81,MEDIUM priority because of moderate recovery probability.,"Subject: Action needed for your payment

Hi! Your subscription payment of ₹21,955.16 needs attention. Please update your payment details to reactivate your subscription.",0,0.0,70-80%
txn_000128,cust_0637,21545.8,0.7766,0.7899,HIGH,email,assisted_recovery,checkout_reminder,16732.47,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹21,545.80. Complete your checkout whenever you're ready.",1,21545.8,70-80%
txn_000129,cust_0726,43632.36,0.7633,0.8426,HIGH,whatsapp,assisted_recovery,checkout_reminder,33304.58,"HIGH priority because of moderate recovery probability, strong contactability.","Hi! You were almost done with your purchase of ₹43,632.36. Complete your checkout whenever you're ready.

Reply to this message if you need help.",1,43632.36,70-80%
txn_000133,cust_0701,34405.68,0.7413,0.7706,HIGH,sms,assisted_recovery,mandate_reactivation,25504.93,HIGH priority because of moderate recovery probability.,Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,34405.68,70-80%
txn_000137,cust_0507,8620.24,0.8332,0.8232,HIGH,email,aggressive_recovery,subscription_reactivation,7182.38,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! Your subscription payment of ₹8,620.24 needs attention. Please update your payment details to reactivate your subscription.",1,8620.24,80-90%
txn_000139,cust_0255,2597.51,0.8348,0.7763,HIGH,email,aggressive_recovery,payment_reminder,2168.4,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! We noticed that your payment of ₹2,597.51 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",0,0.0,80-90%
txn_000141,cust_0132,17172.62,0.7701,0.8122,HIGH,sms,assisted_recovery,payment_reminder,13224.63,"HIGH priority because of moderate recovery probability, strong contactability, low recovery friction.","Hi! We noticed that your payment of ₹17,172.62 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.",1,17172.62,70-80%
txn_000142,cust_0362,13594.16,0.8114,0.8164,HIGH,email,aggressive_recovery,checkout_reminder,11030.3,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹13,594.16. Complete your checkout whenever you're ready.",1,13594.16,80-90%
txn_000143,cust_0382,581.67,0.6989,0.6973,MEDIUM,sms,standard_recovery,mandate_reactivation,406.53,"MEDIUM priority because of moderate recovery probability, high customer reliability, strong contactability.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,581.67,60-70%
txn_000147,cust_0268,36253.86,0.838,0.8038,HIGH,sms,aggressive_recovery,checkout_reminder,30380.73,"HIGH priority because of high recovery probability, high customer reliability.","Hi! You were almost done with your purchase of ₹36,253.86. Complete your checkout whenever you're ready.",1,36253.86,80-90%
txn_000150,cust_0204,39627.67,0.3734,0.5569,MEDIUM,sms,standard_recovery,retry_payment,14796.97,"MEDIUM priority because of low recovery probability, high customer reliability.","Hi! Your payment of ₹39,627.67 could not be completed. Please try the payment again using your preferred payment method.",0,0.0,<50%
txn_000151,cust_0549,8169.24,0.5752,0.697,MEDIUM,email,standard_recovery,retry_payment,4698.95,"MEDIUM priority because of low recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! Your payment of ₹8,169.24 could not be completed. Please try the payment again using your preferred payment method.",0,0.0,50-60%
txn_000152,cust_0343,19398.49,0.925,0.9465,HIGH,sms,aggressive_recovery,mandate_reactivation,17943.6,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,19398.49,90-100%
txn_000154,cust_0661,35602.06,0.7625,0.8497,HIGH,whatsapp,assisted_recovery,subscription_reactivation,27146.57,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability.","Hi! Your subscription payment of ₹35,602.06 needs attention. Please update your payment details to reactivate your subscription.

Reply to this message if you need help.",1,35602.06,70-80%
txn_000155,cust_0407,4864.89,0.9127,0.9374,HIGH,email,aggressive_recovery,checkout_reminder,4440.19,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹4,864.89. Complete your checkout whenever you're ready.",1,4864.89,90-100%
txn_000158,cust_0188,4672.65,0.7764,0.8372,HIGH,sms,assisted_recovery,checkout_reminder,3627.85,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! You were almost done with your purchase of ₹4,672.65. Complete your checkout whenever you're ready.",1,4672.65,70-80%
txn_000159,cust_0358,15445.64,0.683,0.8218,HIGH,email,assisted_recovery,checkout_reminder,10549.37,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹15,445.64. Complete your checkout whenever you're ready.",1,15445.64,60-70%
txn_000162,cust_0241,13716.19,0.7522,0.8311,HIGH,email,assisted_recovery,checkout_reminder,10317.32,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹13,716.19. Complete your checkout whenever you're ready.",1,13716.19,70-80%
txn_000163,cust_0612,15950.25,0.5857,0.6684,MEDIUM,sms,standard_recovery,retry_payment,9342.06,"MEDIUM priority because of low recovery probability, strong contactability.","Hi! Your payment of ₹15,950.25 could not be completed. Please try the payment again using your preferred payment method.",0,0.0,50-60%
txn_000164,cust_0101,46522.51,0.5453,0.7621,HIGH,whatsapp,assisted_recovery,payment_reminder,25368.72,"HIGH priority because of low recovery probability, high customer reliability, low recovery friction.","Hi! We noticed that your payment of ₹46,522.51 is still pending. Please complete your payment to continue your purchase. If you need any help, we're happy to assist.

Reply to this message if you need help.",0,0.0,50-60%
txn_000165,cust_0455,18130.51,0.8768,0.8246,HIGH,sms,aggressive_recovery,mandate_reactivation,15896.83,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.",Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.,1,18130.51,80-90%
txn_000166,cust_0149,33955.1,0.8275,0.8928,HIGH,sms,aggressive_recovery,subscription_reactivation,28097.85,"HIGH priority because of high recovery probability, strong contactability.","Hi! Your subscription payment of ₹33,955.10 needs attention. Please update your payment details to reactivate your subscription.",1,33955.1,80-90%
txn_000167,cust_0138,5173.37,0.8719,0.8949,HIGH,email,aggressive_recovery,checkout_reminder,4510.66,"HIGH priority because of high recovery probability, high customer reliability, strong contactability, low recovery friction.","Subject: Action needed for your payment

Hi! You were almost done with your purchase of ₹5,173.37. Complete your checkout whenever you're ready.",1,5173.37,80-90%
txn_000169,cust_0307,11318.52,0.8105,0.7997,HIGH,email,aggressive_recovery,payment_recovery,9173.66,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! We noticed an issue with your payment of ₹11,318.52. Please review your payment and try again.",1,11318.52,80-90%
txn_000171,cust_0412,44824.54,0.8444,0.941,HIGH,email,aggressive_recovery,payment_recovery,37849.84,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Subject: Action needed for your payment

Hi! We noticed an issue with your payment of ₹44,824.54. Please review your payment and try again.",1,44824.54,80-90%
txn_000172,cust_0738,46544.22,0.8224,0.9796,HIGH,sms,aggressive_recovery,checkout_reminder,38277.97,"HIGH priority because of high recovery probability, high customer reliability, strong contactability.","Hi! You were almost done with your purchase of ₹46,544.22. Complete your checkout whenever you're ready.",0,0.0,80-90%
txn_000174,cust_0450,848.87,0.8364,0.7006,MEDIUM,whatsapp,standard_recovery,mandate_reactivation,709.99,"MEDIUM priority because of high recovery probability, high customer reliability, strong contactability.","Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.

Reply to this message if you need help.",1,848.87,80-90%
txn_000175,cust_0255,38226.24,0.8979,0.948,HIGH,email,aggressive_recovery,mandate_reactivation,34323.34,"HIGH priority because of high recovery probability, high customer intent, strong contactability.","Subject: Action needed for your payment

Hi! Your recurring payment mandate needs to be reactivated. Please complete the required steps to continue your service.",1,38226.24,80-90%
txn_000176,cust_0672,33189.21,0.6438,0.8295,HIGH,sms,assisted_recovery,checkout_reminder,21367.21,"HIGH priority because of moderate recovery probability, high customer reliability, strong contactability, low recovery friction.","Hi! You were almost done with your purchase of ₹33,189.21. Complete your checkout whenever you're ready.",0,0.0,60-70%
txn_000177,cust_0404,49623.63,0.592,0.8545,HIGH,sms,assisted_recovery,retry_payment,29377.19,"HIGH priority because of low recovery probability, strong contactability.","Hi! Your payment of ₹49,623.63 could not be completed. Please try the payment again using your preferred payment method.",0,0.0,50-60%
